jplgroup,Lines,url,rfl,rflhdr
2017_06_24_c00,ang20170624t181530,https://avng.jpl.nasa.gov/avng/y17_data/ang20170624t181530.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170624t181530_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170624t181530_rfl.hdr
2017_06_24_c01,ang20170624t182330,https://avng.jpl.nasa.gov/avng/y17_data/ang20170624t182330.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170624t182330_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170624t182330_rfl.hdr
2017_06_24_c01,ang20170624t183959,https://avng.jpl.nasa.gov/avng/y17_data/ang20170624t183959.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170624t183959_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170624t183959_rfl.hdr
2017_06_24_c01,ang20170624t185017,https://avng.jpl.nasa.gov/avng/y17_data/ang20170624t185017.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170624t185017_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170624t185017_rfl.hdr
2017_06_24_c01,ang20170624t190035,https://avng.jpl.nasa.gov/avng/y17_data/ang20170624t190035.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170624t190035_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170624t190035_rfl.hdr
2017_06_24_c01,ang20170624t190546,https://avng.jpl.nasa.gov/avng/y17_data/ang20170624t190546.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170624t190546_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170624t190546_rfl.hdr
2017_06_28_c00,ang20170628t165756,https://avng.jpl.nasa.gov/avng/y17_data/ang20170628t165756.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170628t165756_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170628t165756_rfl.hdr
2017_06_28_c00,ang20170628t170924,https://avng.jpl.nasa.gov/avng/y17_data/ang20170628t170924.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170628t170924_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170628t170924_rfl.hdr
2017_06_28_c00,ang20170628t172033,https://avng.jpl.nasa.gov/avng/y17_data/ang20170628t172033.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170628t172033_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170628t172033_rfl.hdr
2017_06_28_c01,ang20170628t173155,https://avng.jpl.nasa.gov/avng/y17_data/ang20170628t173155.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170628t173155_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170628t173155_rfl.hdr
2017_06_28_c02,ang20170628t175926,https://avng.jpl.nasa.gov/avng/y17_data/ang20170628t175926.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170628t175926_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170628t175926_rfl.hdr
2017_07_01_c00,ang20170701t180051,,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170701t180051_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170701t180051_rfl.hdr
2017_07_01_c01,ang20170701t181317,,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170701t181317_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170701t181317_rfl.hdr
