group,line,priority,Investigator,NASA.Log,obsorturl,rflurl,rflhdr,Site.Name,pixel.size..m.,solar.azimuth,solar.elevation,start_time,line_id
2017-06-24_2,ang20170624t183959,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170624t183959.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170624t183959rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170624t183959rfl.hdr,AVng_191A-191Z_FL180,5.1,148.2,41.41,2017/06/24 18:39:59+00,2319
2017-06-24_2,ang20170624t185017,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170624t185017.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170624t185017rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170624t185017rfl.hdr,AVng_192A-192Z_FL181,5.1,152.19,40.86,2017/06/24 18:50:17+00,2320
2017-06-28_4,ang20170628t173155,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170628t173155.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170628t173155rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170628t173155rfl.hdr,ABoVE Test Run,5.6,128.59,43.18,2017/06/28 17:31:55+00,2326
2017-06-28_5,ang20170628t175926,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170628t175926.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170628t175926rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170628t175926rfl.hdr,ABoVE Test Run,5,133.82,40.26,2017/06/28 17:59:26+00,2327
2017-07-01_3,ang20170701t182520,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170701t182520.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170701t182520rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170701t182520rfl.hdr,AVng_222D-222Z_FL184,2.8,109.16,55.6,2017/07/01 18:25:20+00,2330
2017-07-01_3,ang20170701t183738,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170701t183738.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170701t183738rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170701t183738rfl.hdr,AVng_222D-222Z_FL184,4.9,111.89,54.5,2017/07/01 18:37:38+00,2331
2017-07-06_1,ang20170706t181605,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170706t181605.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t181605rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t181605rfl.hdr,AVng_252A-252Z_FL179,5.1,112.29,55.09,2017/07/06 18:16:05+00,2335
2017-07-06_2,ang20170706t183519,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170706t183519.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t183519rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t183519rfl.hdr,AVng_242A-242Z_FL194,4.7,115.54,53.3,2017/07/06 18:35:19+00,2336
2017-07-06_2,ang20170706t184209,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170706t184209.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t184209rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t184209rfl.hdr,AVng_247A-247Z_FL192,4.7,116.45,52.92,2017/07/06 18:42:09+00,2337
2017-07-06_2,ang20170706t185049,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170706t185049.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t185049rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t185049rfl.hdr,AVng_243A-243Z_FL192,4.8,118.65,52.09,2017/07/06 18:50:49+00,2338
2017-07-06_2,ang20170706t190214,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170706t190214.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t190214rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t190214rfl.hdr,Serendipity Line (tbd),4.6,122.99,50.64,2017/07/06 19:02:14+00,2339
2017-07-06_1,ang20170706t191053,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170706t191053.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t191053rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t191053rfl.hdr,Serendipity Line,5,126.64,49.85,2017/07/06 19:10:53+00,2340
2017-07-06_3,ang20170706t192052,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170706t192052.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t192052rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t192052rfl.hdr,AVng_257A-257Z_FL183,5,130.97,48.54,2017/07/06 19:20:52+00,2341
2017-07-07_7,ang20170707t200100,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170707t200100.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170707t200100rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170707t200100rfl.hdr,AVng_202A-202B_FL175,5.1,119.07,50.2,2017/07/07 20:01:00+00,2361
2017-07-07_10,ang20170707t233001,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170707t233001.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170707t233001rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170707t233001rfl.hdr,AVng_221G-221Z_FL181,5,199.9,42.64,2017/07/07 23:30:01+00,2367
2017-07-08_1,ang20170708t181228,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170708t181228.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t181228rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t181228rfl.hdr,Serendipitous Line,4.8,113.57,55.63,2017/07/08 18:12:28+00,2369
2017-07-08_3,ang20170708t191716,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170708t191716.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t191716rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t191716rfl.hdr,Serendipitous Line (N67.134 W143.39),5,134.43,50.09,2017/07/08 19:17:16+00,2373
2017-07-08_2,ang20170708t193118,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t193118.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t193118rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t193118rfl.hdr,AVng_322B-322Z_FL179,5.1,136.66,49.26,2017/07/08 19:31:18+00,2374
2017-07-08_1,ang20170708t194013,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t194013.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t194013rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t194013rfl.hdr,AVng_322A-322B_FL179,5.1,138.15,48.59,2017/07/08 19:40:13+00,2375
2017-07-08_5,ang20170708t195324,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t195324.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t195324rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t195324rfl.hdr,AVng_321A-321B_FL178,5.1,141.66,47.84,2017/07/08 19:53:24+00,2376
2017-07-08_2,ang20170708t200159,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t200159.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t200159rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t200159rfl.hdr,AVng_321B-321Z_FL178,5.1,145.38,47.46,2017/07/08 20:01:59+00,2377
2017-07-08_6,ang20170708t202625,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170708t202625.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t202625rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t202625rfl.hdr,Serendipitous Line (N67.429 W147.408),4.5,150.49,47.46,2017/07/08 20:26:25+00,2378
2017-07-08_7,ang20170708t204342,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t204342.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t204342rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t204342rfl.hdr,AVng_334A-334Z_FL207,4.5,154.42,47.32,2017/07/08 20:43:42+00,2379
2017-07-08_8,ang20170708t205457,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t205457.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t205457rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t205457rfl.hdr,AVng_372A-372Z_FL203,4.3,158.58,47.37,2017/07/08 20:54:57+00,2380
2017-07-08_9,ang20170708t210315,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t210315.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t210315rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t210315rfl.hdr,AB_T01_L001_FL187,4.8,161.92,47.42,2017/07/08 21:03:15+00,2381
2017-07-08_10,ang20170708t211541,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t211541.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t211541rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t211541rfl.hdr,AVng_370A-370Z_FL182 (gas/oil facility end of line),4.9,166.07,47.43,2017/07/08 21:15:41+00,2382
2017-07-08_10,ang20170708t212546,1,Charles Miller,17M039e,https://popo.jpl.nasa.gov/avng/y17/ang20170708t212546.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t212546rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t212546rfl.hdr,AB_B13_L002_FL180_BigSkyLake,5.1,169.26,47.49,2017/07/08 21:25:46+00,2383
